Question,Answer
There are 9 pencils in one box and 19 pencils in another box - How many pencils are there altogether?,twenty-eight
Sam has 14 marbles and he loses 4 marbles - How many marbles does Sam have left?,eighteen
If a shop sells 20 toys on Monday and 8 toys on Tuesday - how many toys were sold in total?,twenty-eight
If 20 apples are added to 19 apples - how many apples are there in total?,thirty-nine
A baker has 2 muffins and bakes 6 more muffins - How many muffins does the baker have now?,eight
Sam has 19 marbles and he loses 5 marbles - How many marbles does Sam have left?,twenty-four
If a shop sells 19 toys on Monday and 5 toys on Tuesday - how many toys were sold in total?,twenty-four
If a shop sells 9 toys on Monday and 5 toys on Tuesday - how many toys were sold in total?,fourteen
Sam has 12 marbles and he loses 7 marbles - How many marbles does Sam have left?,nineteen
A train travels 7 miles in the morning and 18 miles in the evening - What is the total distance traveled?,twenty-five
A baker has 13 muffins and bakes 14 more muffins - How many muffins does the baker have now?,twenty-seven
A train travels 14 miles in the morning and 20 miles in the evening - What is the total distance traveled?,thirty-four
If a shop sells 15 toys on Monday and 19 toys on Tuesday - how many toys were sold in total?,thirty-four
A store sells 14 candies and 3 candies are left - How many candies were sold in total?,seventeen
There are 6 pencils in one box and 2 pencils in another box - How many pencils are there altogether?,eight
A store sells 10 candies and 13 candies are left - How many candies were sold in total?,twenty-three
If a shop sells 16 toys on Monday and 2 toys on Tuesday - how many toys were sold in total?,eighteen
Sam has 18 marbles and he loses 15 marbles - How many marbles does Sam have left?,thirty-three
If 12 apples are added to 16 apples - how many apples are there in total?,twenty-eight
A store sells 17 candies and 5 candies are left - How many candies were sold in total?,twenty-two
A baker has 1 muffins and bakes 2 more muffins - How many muffins does the baker have now?,three
If a shop sells 5 toys on Monday and 1 toys on Tuesday - how many toys were sold in total?,six
If 17 apples are added to 8 apples - how many apples are there in total?,twenty-five
There are 20 pencils in one box and 19 pencils in another box - How many pencils are there altogether?,thirty-nine
Sam has 8 marbles and he loses 17 marbles - How many marbles does Sam have left?,twenty-five
There are 14 pencils in one box and 11 pencils in another box - How many pencils are there altogether?,twenty-five
If a shop sells 3 toys on Monday and 8 toys on Tuesday - how many toys were sold in total?,eleven
A store sells 11 candies and 16 candies are left - How many candies were sold in total?,twenty-seven
If a shop sells 19 toys on Monday and 8 toys on Tuesday - how many toys were sold in total?,twenty-seven
A train travels 3 miles in the morning and 3 miles in the evening - What is the total distance traveled?,six
Sam has 2 marbles and he loses 13 marbles - How many marbles does Sam have left?,fifteen
A train travels 11 miles in the morning and 17 miles in the evening - What is the total distance traveled?,twenty-eight
Sam has 11 marbles and he loses 9 marbles - How many marbles does Sam have left?,twenty
A store sells 18 candies and 19 candies are left - How many candies were sold in total?,thirty-seven
If 2 apples are added to 14 apples - how many apples are there in total?,sixteen
If a shop sells 6 toys on Monday and 7 toys on Tuesday - how many toys were sold in total?,thirteen
A train travels 10 miles in the morning and 10 miles in the evening - What is the total distance traveled?,twenty
There are 11 pencils in one box and 1 pencils in another box - How many pencils are there altogether?,twelve
A train travels 13 miles in the morning and 6 miles in the evening - What is the total distance traveled?,nineteen
A store sells 18 candies and 19 candies are left - How many candies were sold in total?,thirty-seven
A store sells 4 candies and 18 candies are left - How many candies were sold in total?,twenty-two
There are 18 pencils in one box and 13 pencils in another box - How many pencils are there altogether?,thirty-one
Sam has 9 marbles and he loses 7 marbles - How many marbles does Sam have left?,sixteen
A train travels 6 miles in the morning and 7 miles in the evening - What is the total distance traveled?,thirteen
A train travels 9 miles in the morning and 7 miles in the evening - What is the total distance traveled?,sixteen
Sam has 12 marbles and he loses 16 marbles - How many marbles does Sam have left?,twenty-eight
If 6 apples are added to 11 apples - how many apples are there in total?,seventeen
A store sells 6 candies and 7 candies are left - How many candies were sold in total?,thirteen
If a shop sells 11 toys on Monday and 9 toys on Tuesday - how many toys were sold in total?,twenty
If 4 apples are added to 20 apples - how many apples are there in total?,twenty-four
A baker has 13 muffins and bakes 19 more muffins - How many muffins does the baker have now?,thirty-two
If 14 apples are added to 6 apples - how many apples are there in total?,twenty
If a shop sells 19 toys on Monday and 7 toys on Tuesday - how many toys were sold in total?,twenty-six
If 20 apples are added to 11 apples - how many apples are there in total?,thirty-one
If a shop sells 19 toys on Monday and 3 toys on Tuesday - how many toys were sold in total?,twenty-two
A store sells 6 candies and 5 candies are left - How many candies were sold in total?,eleven
Sam has 19 marbles and he loses 14 marbles - How many marbles does Sam have left?,thirty-three
There are 17 pencils in one box and 20 pencils in another box - How many pencils are there altogether?,thirty-seven
There are 3 pencils in one box and 13 pencils in another box - How many pencils are there altogether?,sixteen
A train travels 5 miles in the morning and 12 miles in the evening - What is the total distance traveled?,seventeen
Sam has 10 marbles and he loses 9 marbles - How many marbles does Sam have left?,nineteen
A train travels 11 miles in the morning and 15 miles in the evening - What is the total distance traveled?,twenty-six
Sam has 14 marbles and he loses 20 marbles - How many marbles does Sam have left?,thirty-four
If 18 apples are added to 12 apples - how many apples are there in total?,thirty
Sam has 19 marbles and he loses 17 marbles - How many marbles does Sam have left?,thirty-six
A baker has 4 muffins and bakes 4 more muffins - How many muffins does the baker have now?,eight
If a shop sells 17 toys on Monday and 5 toys on Tuesday - how many toys were sold in total?,twenty-two
Sam has 20 marbles and he loses 15 marbles - How many marbles does Sam have left?,thirty-five
A store sells 16 candies and 20 candies are left - How many candies were sold in total?,thirty-six
A train travels 15 miles in the morning and 11 miles in the evening - What is the total distance traveled?,twenty-six
If a shop sells 20 toys on Monday and 2 toys on Tuesday - how many toys were sold in total?,twenty-two
If 7 apples are added to 1 apples - how many apples are there in total?,eight
If 9 apples are added to 16 apples - how many apples are there in total?,twenty-five
If 3 apples are added to 10 apples - how many apples are there in total?,thirteen
If a shop sells 2 toys on Monday and 19 toys on Tuesday - how many toys were sold in total?,twenty-one
Sam has 16 marbles and he loses 5 marbles - How many marbles does Sam have left?,twenty-one
A store sells 2 candies and 15 candies are left - How many candies were sold in total?,seventeen
Sam has 20 marbles and he loses 1 marbles - How many marbles does Sam have left?,twenty-one
If 6 apples are added to 10 apples - how many apples are there in total?,sixteen
A baker has 8 muffins and bakes 4 more muffins - How many muffins does the baker have now?,twelve
If 18 apples are added to 3 apples - how many apples are there in total?,twenty-one
A baker has 9 muffins and bakes 14 more muffins - How many muffins does the baker have now?,twenty-three
A train travels 2 miles in the morning and 20 miles in the evening - What is the total distance traveled?,twenty-two
If 20 apples are added to 16 apples - how many apples are there in total?,thirty-six
A store sells 15 candies and 13 candies are left - How many candies were sold in total?,twenty-eight
